,title,category,url,episodes,aired,ended
245,Kasa Jizou,movie,https://anidb.net/anime/14286,1,??.??.1960,??.??.1960
246,Mori no Ongakutai,movie,https://anidb.net/anime/14284,1,??.??.1960,??.??.1960
247,Atarashii Douga: Mittsu no Hanashi,special,https://anidb.net/anime/5486,1,1960-01-15,1960-01-15
248,Kitakaze to Taiyou,movie,https://anidb.net/anime/7182,1,??.04.1960,??.04.1960
249,Saiyuuki,movie,https://anidb.net/anime/2199,1,1960-08-14,1960-08-14
250,Kamotori Gonbee,movie,https://anidb.net/anime/14283,1,??.??.1961,??.??.1961
251,Ikedaya Soudou,movie,https://anidb.net/anime/14355,1,??.??.1961,??.??.1961
252,Plus 50000-nen,movie,https://anidb.net/anime/14342,1,??.??.1961,??.??.1961
253,Kaguya-hime (1961),movie,https://anidb.net/anime/13072,1,??.??.1961,??.??.1961
254,Kitte no Gensou,movie,https://anidb.net/anime/8572,1,??.??.1961,??.??.1961
255,Instant History,series,https://anidb.net/anime/5035,312,1961-01-05,1962-02-24
256,Anju to Zushiou Maru,movie,https://anidb.net/anime/2200,1,1961-07-19,1961-07-19
257,Goman-hiki,series,https://anidb.net/anime/14492,100,??.??.1962,??.??.1965
258,Ari to Kirigirisu,movie,https://anidb.net/anime/14282,1,??.??.1962,??.??.1962
259,Ningen Doubutsuen,movie,https://anidb.net/anime/4479,1,??.??.1962,??.??.1962
260,Omusubi Kororin,movie,https://anidb.net/anime/14281,1,??.??.1962,??.??.1962
261,Tanoshii Bunmeishi: Tetsu Monogatari,movie,https://anidb.net/anime/3579,1,1962-04-22,1962-04-22
262,Otogi Manga Calendar,series,https://anidb.net/anime/5034,312,1962-06-25,1964-04-07
263,Mogura no Motoro,movie,https://anidb.net/anime/5733,1,1962-07-19,1962-07-19
264,Arabian Nights: Sindbad no Bouken,movie,https://anidb.net/anime/1779,1,1962-07-21,1962-07-21
265,Otogi no Sekai Ryokou,movie,https://anidb.net/anime/3680,1,1962-08-25,1962-08-25
266,Aru Machi Kado no Monogatari,movie,https://anidb.net/anime/3469,1,1962-05-11,1962-05-11
267,Osu,movie,https://anidb.net/anime/3474,1,1962-05-11,1962-05-11
268,Ai,movie,https://anidb.net/anime/2870,1,??.??.1963,??.??.1963
269,Shiroi Zou,movie,https://anidb.net/anime/14280,1,??.??.1963,??.??.1963
270,Kiseki,movie,https://anidb.net/anime/14350,1,??.??.1963,??.??.1963
271,Futari Zamurai Homare no Kawakiri,movie,https://anidb.net/anime/14356,1,??.??.1963,??.??.1963
272,Mu Di,movie,https://anidb.net/anime/11949,1,??.??.1963,??.??.1963
273,Jiaoao de Jiangjun,movie,https://anidb.net/anime/11978,1,??.??.1956,??.??.1956
274,Shiroi Zou,movie,https://anidb.net/anime/14280,1,??.??.1963,??.??.1963
275,Tetsuwan Atom,series,https://anidb.net/anime/1440,193,1963-01-01,1966-12-31
276,Uriko-hime to Amanojaku,movie,https://anidb.net/anime/14335,1,??.01.1956,??.01.1956
277,Youkoso Uchuujin,movie,https://anidb.net/anime/8988,1,??.??.1966,??.??.1966
278,Roppou Yabure-kun,series,https://anidb.net/anime/5482,110,1969-04-28,1969-09-26
279,Yuurei-sen,movie,https://anidb.net/anime/6949,1,??.04.1956,??.04.1956
280,Soratobu Yuureisen,movie,https://anidb.net/anime/1859,1,1969-07-20,1969-07-20
281,Cello Hiki no Gauche,movie,https://anidb.net/anime/9326,1,??.??.1963,??.??.1963
282,Kitsutsuki Keikaku,movie,https://anidb.net/anime/7269,1,??.??.1966,??.??.1966
283,Hong Gildong Janggun,movie,https://anidb.net/anime/9612,1,1969-07-21,1969-07-21
284,Wanpaku Ouji no Orochi Taiji,movie,https://anidb.net/anime/2201,1,1963-03-24,1963-03-24
285,Tsukiyo to Megane,movie,https://anidb.net/anime/14277,1,??.??.1966,??.??.1966
286,Issunboushi (1956),movie,https://anidb.net/anime/6950,1,??.05.1956,??.05.1956
